Team,Name,Lane
Team 83,David O'Mygod,Lane 1A
Team 83,Dalton Sorry,Lane 2A
Team 86,Austin Texas,Lane 1B
Team 86,Austin Tailored,Lane 2B
Team 84,Tim Merlin,Lane 1C
Team 84,Marco Aurelious,Lane 2C
Team 88,Billy ElNino,Lane 1D
Team 88,Steve Brown,Lane 2D
Team 80,Teddy Crux,Lane 1E
Team 80,Ricardo Martinez,Lane 2E
Team 87,Tirus Rex,Lane 3A
Team 87,Darion Byte,Lane 4A
Team 02,Whale Willy,Lane 3B
Team 02,Danika Patrykc,Lane 4B
Team 81,Jamie Bailes,Lane 3C
Team 81,Jorge Snyder,Lane 4C
Team 100,Stephanie McFerrari,Lane 3D
Team 100,Rafa Peque�o,Lane 4D
Team 99,Diego Coca,Lane 3E
Team 99,Kat MaxCubos,Lane 4E
Team 03,Troy Amazon,Lane 5A
Team 03,Luis Cuban,Lane 6A
Team 82,Colin Loser,Lane 5B
Team 82,Hal Keys,Lane 6B
Team 01,Geico Buffet,Lane 5C
Team 01,Tiger Wuds,Lane 6C
Team 85,Chip DeMexico,Lane 5D
Team 85,Khaleel Krypton,Lane 6D
